skill,users_2024,users_2025,share_2024,share_2025,share_change_2025_minus_2024
Corporate Tax Planning,32,16,0.012841091492776886,0.02680067001675042,0.013959578523973533
Investment Banking,458,118,0.18378812199036917,0.19765494137353434,0.013866819383165169
Investment Advisory,25,14,0.010032102728731942,0.023450586264656615,0.013418483535924673
Academic English,21,13,0.008426966292134831,0.021775544388609715,0.013348578096474883
Graphic User Interface Design,38,17,0.015248796147672551,0.02847571189279732,0.013226915745124768
PostgreSQL Databases,59,22,0.023675762439807384,0.03685092127303183,0.013175158833224444
Alternative Investment Strategies,22,13,0.00882825040128411,0.021775544388609715,0.012947293987325605
Figma,68,24,0.027287319422150885,0.04020100502512563,0.012913685602974744
Stata,56,21,0.02247191011235955,0.035175879396984924,0.012703969284625374
Deep Learning,49,19,0.019662921348314606,0.031825795644891124,0.012162874296576517
Vue.js,16,11,0.006420545746388443,0.018425460636515914,0.01200491489012747
Business Analysis,62,22,0.024879614767255216,0.03685092127303183,0.011971306505776613
PyTorch,83,27,0.03330658105939005,0.04522613065326633,0.011919549593876283
Tableau Online,50,19,0.020064205457463884,0.031825795644891124,0.01176159018742724
Matplotlib,17,11,0.006821829855537721,0.018425460636515914,0.011603630780978192
Interest Rate Derivatives,17,11,0.006821829855537721,0.018425460636515914,0.011603630780978192
User Interaction,15,10,0.006019261637239166,0.01675041876046901,0.010731157123229845
Bloomberg,145,41,0.05818619582664526,0.06867671691792294,0.010490521091277683
Corporate Financial Reporting,20,11,0.008025682182985553,0.018425460636515914,0.010399778453530361
Corporate Finance Principles,400,102,0.16051364365971107,0.1708542713567839,0.010340627697072835
Oracle JavaScript Extension Toolkit,16,10,0.006420545746388443,0.01675041876046901,0.010329873014080566
Microsoft PowerPoint,133,38,0.05337078651685393,0.06365159128978225,0.010280804772928316
Interest Rate Risk Management,25,12,0.010032102728731942,0.020100502512562814,0.010068399783830872
Computer Vision,68,22,0.027287319422150885,0.03685092127303183,0.009563601850880944
Post Production Editing,18,10,0.0072231139646869984,0.01675041876046901,0.009527304795782012
Powerpoint Animation,1383,337,0.554975922953451,0.5644891122278057,0.009513189274354739
Detail Oriented,39,15,0.01565008025682183,0.02512562814070352,0.009475547883881687
Day Trading,27,12,0.010834670947030497,0.020100502512562814,0.009265831565532318
Equity Capital Markets,69,22,0.02768860353130016,0.03685092127303183,0.009162317741731669
Applied Research,19,10,0.007624398073836276,0.01675041876046901,0.009126020686632735
Real Estate Private Equity,157,43,0.0630016051364366,0.07202680067001675,0.009025195533580152
Strategic Problem Solving,82,25,0.03290529695024077,0.04187604690117253,0.008970749950931764
Interpersonal Skills,49,17,0.019662921348314606,0.02847571189279732,0.008812790544482713
Adobe Photoshop,112,32,0.0449438202247191,0.05360134003350084,0.008657519808781738
English Law,37,14,0.014847512038523275,0.023450586264656615,0.00860307422613334
Notion Productivity Software,21,10,0.008426966292134831,0.01675041876046901,0.008323452468334179
Pandas,113,32,0.04534510433386838,0.05360134003350084,0.008256235699632457
IBM Data Management,26,11,0.01043338683788122,0.018425460636515914,0.007992073798634694
Video Blogging,26,11,0.01043338683788122,0.018425460636515914,0.007992073798634694
Social Data Analytics,26,11,0.01043338683788122,0.018425460636515914,0.007992073798634694
Frontend Development,60,19,0.024077046548956663,0.031825795644891124,0.007748749095934461
MySQL DBA,31,12,0.012439807383627608,0.020100502512562814,0.007660695128935207
Python Tools for Visual Studio,119,33,0.047752808988764044,0.05527638190954774,0.0075235729207836985
Debugging Code,36,13,0.014446227929373997,0.021775544388609715,0.007329316459235718
ReactJS,57,18,0.022873194221508828,0.03015075376884422,0.007277559547335392
Simple Logging Facade for Java,28,11,0.011235955056179775,0.018425460636515914,0.007189505580336139
Security Event Management,24,10,0.009630818619582664,0.01675041876046901,0.007119600140886346
Applied Economics,217,56,0.08707865168539326,0.09380234505862646,0.006723693373233197
Community Outreach,121,33,0.0485553772070626,0.05527638190954774,0.006721004702485142
Castilian Spanish Language,25,10,0.010032102728731942,0.01675041876046901,0.006718316031737068
Exploratory Data Analysis,25,10,0.010032102728731942,0.01675041876046901,0.006718316031737068
Finance Management,21,9,0.008426966292134831,0.01507537688442211,0.006648410592287279
Social Media Marketing,113,31,0.04534510433386838,0.051926298157453935,0.006581193823585553
Distributed Systems,17,8,0.006821829855537721,0.01340033500837521,0.0065785051528374884
Asia Business Development,30,11,0.012038523274478331,0.018425460636515914,0.006386937362037583
Object-Oriented JavaScript,26,10,0.01043338683788122,0.01675041876046901,0.00631703192258779
Legal Writing,47,15,0.01886035313001605,0.02512562814070352,0.006265275010687469
LaTeX,164,43,0.06581059390048154,0.07202680067001675,0.006216206769535215
Private Equity Fund,64,19,0.025682182985553772,0.031825795644891124,0.006143612659337352
Market Research Techniques,135,36,0.05417335473515249,0.06030150753768844,0.006128152802535952
Bloomberg Terminal,273,69,0.10955056179775281,0.11557788944723618,0.006027327649483369
Large Language Models,31,11,0.012439807383627608,0.018425460636515914,0.005985653252888306
Mergers and Acquisitions,48,15,0.019261637239165328,0.02512562814070352,0.005863990901538191
Adobe Illustrator,57,17,0.022873194221508828,0.02847571189279732,0.005602517671288491
Web Cache Communication Protocols,128,34,0.051364365971107544,0.05695142378559464,0.005587057814487095
Nonprofit Accounting,49,15,0.019662921348314606,0.02512562814070352,0.005462706792388913
Fundamental Analysis,24,9,0.009630818619582664,0.01507537688442211,0.005444558264839446
Laboratory Skills,20,8,0.008025682182985553,0.01340033500837521,0.0053746528253896565
Wildlife Science,37,12,0.014847512038523275,0.020100502512562814,0.005252990474039539
Azure Kubernetes,50,15,0.020064205457463884,0.02512562814070352,0.0050614226832396345
NumPy,67,19,0.026886035313001606,0.031825795644891124,0.004939760331889517
Legal Research,105,28,0.042134831460674156,0.04690117252931323,0.004766341068639074
Artificial Intelligence for Business,80,22,0.03210272873194221,0.03685092127303183,0.004748192541089616
Apache Spark,30,10,0.012038523274478331,0.01675041876046901,0.004711895485990679
Family Wealth Management,18,7,0.0072231139646869984,0.011725293132328308,0.004502179167641309
Software Engineering 2004,89,24,0.03571428571428571,0.04020100502512563,0.004486719310839916
Qualitative Marketing Research,56,16,0.02247191011235955,0.02680067001675042,0.004328759904390869
RStudio,31,10,0.012439807383627608,0.01675041876046901,0.0043106113768414025
MongoDB Atlas,77,21,0.03089887640449438,0.035175879396984924,0.004277002992490543
Tableau CRM,27,9,0.010834670947030497,0.01507537688442211,0.004240705937391613
Technology Entrepreneurship,23,8,0.009229534510433388,0.01340033500837521,0.004170800497941822
Platform Strategy,23,8,0.009229534510433388,0.01340033500837521,0.004170800497941822
Web Editing,19,7,0.007624398073836276,0.011725293132328308,0.004100895058492032
University Teaching,19,7,0.007624398073836276,0.011725293132328308,0.004100895058492032
International Relations,19,7,0.007624398073836276,0.011725293132328308,0.004100895058492032
Final Cut Pro,19,7,0.007624398073836276,0.011725293132328308,0.004100895058492032
Creative Problem Solving,36,11,0.014446227929373997,0.018425460636515914,0.003979232707141917
PeopleSoft Customer Relationship Management,32,10,0.012841091492776886,0.01675041876046901,0.003909327267692124
Firebase Cloud Messaging,32,10,0.012841091492776886,0.01675041876046901,0.003909327267692124
Business Development Company,24,8,0.009630818619582664,0.01340033500837521,0.0037695163887925456
Sales Research,20,7,0.008025682182985553,0.011725293132328308,0.0036996109493427545
Cell Biology,20,7,0.008025682182985553,0.011725293132328308,0.0036996109493427545
Strategic Human Resources Leadership,20,7,0.008025682182985553,0.011725293132328308,0.0036996109493427545
Google Cloud Platform,41,12,0.016452648475120384,0.020100502512562814,0.00364785403744243
Django Framework,41,12,0.016452648475120384,0.020100502512562814,0.00364785403744243
Higher Education Research,33,10,0.013242375601926164,0.01675041876046901,0.003508043158542846
Spanish Teaching,71,19,0.028491171749598716,0.031825795644891124,0.003334623895292408
Search Marketing,21,7,0.008426966292134831,0.011725293132328308,0.0032983268401934763
Customer Service Desk,376,92,0.1508828250401284,0.1541038525963149,0.003221027556186501
Microsoft SQL Server Databases,88,23,0.03531300160513644,0.038525963149078725,0.0032129615439422873
Unity Connection,34,10,0.013643659711075442,0.01675041876046901,0.003106759049393568
Protein Biochemistry,51,14,0.020465489566613163,0.023450586264656615,0.0029850966980434525
French Sign Language,26,8,0.01043338683788122,0.01340033500837521,0.0029669481704939892
Spring Framework,22,7,0.00882825040128411,0.011725293132328308,0.002897042731044198
Legal Research Skills,56,15,0.02247191011235955,0.02512562814070352,0.002653718028343969
Financial Accounting Standards Board,31,9,0.012439807383627608,0.01507537688442211,0.002635569500794502
Structured Finance,31,9,0.012439807383627608,0.01507537688442211,0.002635569500794502
Search Engine Optimization,27,8,0.010834670947030497,0.01340033500837521,0.0025656640613447128
Addressing Schemes,27,8,0.010834670947030497,0.01340033500837521,0.0025656640613447128
HTML Editor,27,8,0.010834670947030497,0.01340033500837521,0.0025656640613447128
Microsoft Power BI Embedded,23,7,0.009229534510433388,0.011725293132328308,0.00249575862189492
Suspension Cell Culture,44,12,0.01765650080256822,0.020100502512562814,0.0024440017099945956
Complex Accounting,19,6,0.007624398073836276,0.010050251256281407,0.0024258531824451314
Valuation,19,6,0.007624398073836276,0.010050251256281407,0.0024258531824451314
International Financial Reporting Standards,19,6,0.007624398073836276,0.010050251256281407,0.0024258531824451314
Mandarin Chinese Language,32,9,0.012841091492776886,0.01507537688442211,0.002234285391645224
Flask,78,20,0.03130016051364366,0.03350083752093802,0.0022006770072943577
Event Planning,28,8,0.011235955056179775,0.01340033500837521,0.0021643799521954346
Legal Projects,70,18,0.028089887640449437,0.03015075376884422,0.0020608661283947824
Panel Data Analysis,20,6,0.008025682182985553,0.010050251256281407,0.002024569073295854
System Programming,20,6,0.008025682182985553,0.010050251256281407,0.002024569073295854
EC2,20,6,0.008025682182985553,0.010050251256281407,0.002024569073295854
Paid Social Media Advertising,20,6,0.008025682182985553,0.010050251256281407,0.002024569073295854
Adobe Creative Suite,37,10,0.014847512038523275,0.01675041876046901,0.0019029067219457352
Avaya Unified Communications Management,54,14,0.021669341894060994,0.023450586264656615,0.0017812443705956214
Java Code,125,31,0.05016051364365971,0.051926298157453935,0.0017657845137942219
Western Blotting,29,8,0.011637239165329053,0.01340033500837521,0.0017630958430461564
Requirements Engineering,29,8,0.011637239165329053,0.01340033500837521,0.0017630958430461564
Jira Service Desk,29,8,0.011637239165329053,0.01340033500837521,0.0017630958430461564
Acquisition Due Diligence,75,19,0.03009630818619583,0.031825795644891124,0.0017294874586952953
GitHub Copilot,96,24,0.038523274478330656,0.04020100502512563,0.0016777305467949727
Linux on Embedded Systems,42,11,0.016853932584269662,0.018425460636515914,0.0015715280522462516
Integrated Marketing Communications,34,9,0.013643659711075442,0.01507537688442211,0.0014317171733466676
Sensitivity Training,55,14,0.022070626003210272,0.023450586264656615,0.0013799602614463433
Web Application Design,26,7,0.01043338683788122,0.011725293132328308,0.0012919062944470872
Public Policy Research,26,7,0.01043338683788122,0.011725293132328308,0.0012919062944470872
Jupyter,26,7,0.01043338683788122,0.011725293132328308,0.0012919062944470872
Writing Articles,22,6,0.00882825040128411,0.010050251256281407,0.0012220008549972978
Software Testing Automation Framework,43,11,0.01725521669341894,0.018425460636515914,0.0011702439430969734
Statistical Data Analysis,39,10,0.01565008025682183,0.01675041876046901,0.0011003385036471788
Multivariate Statistics,35,9,0.014044943820224719,0.01507537688442211,0.0010304330641973912
IT Business Strategy,56,14,0.02247191011235955,0.023450586264656615,0.000978676152297065
Credit Risk Management,31,8,0.012439807383627608,0.01340033500837521,0.0009605276247476018
Java Web Services Development Pack,31,8,0.012439807383627608,0.01340033500837521,0.0009605276247476018
Adhd Tutoring,48,12,0.019261637239165328,0.020100502512562814,0.0008388652733974863
Manufacturing Engineering,40,10,0.016051364365971106,0.01675041876046901,0.0006990543944979041
CATIA,40,10,0.016051364365971106,0.01675041876046901,0.0006990543944979041
Sales Training,36,9,0.014446227929373997,0.01507537688442211,0.000629148955048113
Digital Product Management,32,8,0.012841091492776886,0.01340033500837521,0.0005592435155983237
Technology Sales,32,8,0.012841091492776886,0.01340033500837521,0.0005592435155983237
Team Building,53,13,0.02126805778491172,0.021775544388609715,0.0005074866036979958
Software Infrastructure,28,7,0.011235955056179775,0.011725293132328308,0.0004893380761485325
Amazon DynamoDB,28,7,0.011235955056179775,0.011725293132328308,0.0004893380761485325
Litigation Management,99,24,0.039727126805778494,0.04020100502512563,0.0004738782193471347
Front Office Trading Systems,24,6,0.009630818619582664,0.010050251256281407,0.00041943263669874317
Java Android,24,6,0.009630818619582664,0.010050251256281407,0.00041943263669874317
Amazon S3 Buckets,24,6,0.009630818619582664,0.010050251256281407,0.00041943263669874317
Public Relations Skills,20,5,0.008025682182985553,0.008375209380234505,0.00034952719724895207
gRPC,20,5,0.008025682182985553,0.008375209380234505,0.00034952719724895207
Creative Writing,20,5,0.008025682182985553,0.008375209380234505,0.00034952719724895207
Educational Statistics,20,5,0.008025682182985553,0.008375209380234505,0.00034952719724895207
Syllabus Development,37,9,0.014847512038523275,0.01507537688442211,0.00022786484589883485
Effective Time Management,108,26,0.04333868378812199,0.04355108877721943,0.0002124049890974422
English Typing,58,14,0.023274478330658106,0.023450586264656615,0.00017610793399850874
Computer Science Education,33,8,0.013242375601926164,0.01340033500837521,0.00015795940644904548
Google Suite,29,7,0.011637239165329053,0.011725293132328308,8.805396699925437e-05
Oral Written Communication Skills,25,6,0.010032102728731942,0.010050251256281407,1.8148527549465e-05
Self Presentation,71,17,0.028491171749598716,0.02847571189279732,-1.545985680139611e-05
Client Relationships,21,5,0.008426966292134831,0.008375209380234505,-5.175691190032611e-05
Business Workflow Analysis,21,5,0.008426966292134831,0.008375209380234505,-5.175691190032611e-05
Numerical Linear Algebra,21,5,0.008426966292134831,0.008375209380234505,-5.175691190032611e-05
Spring Data,42,10,0.016853932584269662,0.01675041876046901,-0.00010351382380065222
Social Media Storytelling,134,32,0.05377207062600321,0.05360134003350084,-0.00017073059250237443
Interpersonal Communication,38,9,0.015248796147672551,0.01507537688442211,-0.0001734192632504416
Spanish Culture,34,8,0.013643659711075442,0.01340033500837521,-0.0002433247027002327
Financial Literacy Training,34,8,0.013643659711075442,0.01340033500837521,-0.0002433247027002327
MATLAB,297,71,0.11918138041733548,0.11892797319932999,-0.0002534072180054858
Technical Accounting Research,30,7,0.012038523274478331,0.011725293132328308,-0.0003132301421500238
Test of English as a Foreign Language,51,12,0.020465489566613163,0.020100502512562814,-0.0003649870540503482
Emerging Market Debt,26,6,0.01043338683788122,0.010050251256281407,-0.0003831355815998132
Time Management Training,168,40,0.06741573033707865,0.06700167504187604,-0.00041405529520260886
Eclipse IDE,47,11,0.01886035313001605,0.018425460636515914,-0.0004348924935001358
Product Roadmap Management,22,5,0.00882825040128411,0.008375209380234505,-0.0004530410210496043
Industrial Robotics,22,5,0.00882825040128411,0.008375209380234505,-0.0004530410210496043
Data Engineering,43,10,0.01725521669341894,0.01675041876046901,-0.0005047979329499304
React Native Applications,60,14,0.024077046548956663,0.023450586264656615,-0.0006264602843000476
Linux Development,31,7,0.012439807383627608,0.011725293132328308,-0.0007145142512993002
Strategic Technology Planning,48,11,0.019261637239165328,0.018425460636515914,-0.000836176602649414
Statistical Modeling,23,5,0.009229534510433388,0.008375209380234505,-0.0008543251301988825
Cellular Manufacturing,23,5,0.009229534510433388,0.008375209380234505,-0.0008543251301988825
Communication with Candidates,23,5,0.009229534510433388,0.008375209380234505,-0.0008543251301988825
Genome Editing,36,8,0.014446227929373997,0.01340033500837521,-0.0010458929209987873
Social Media Branding,32,7,0.012841091492776886,0.011725293132328308,-0.0011157983604485784
Social Media Optimization,28,6,0.011235955056179775,0.010050251256281407,-0.0011857037998983678
TensorFlow,74,17,0.02969502407704655,0.02847571189279732,-0.0012193121842492306
Curriculum Design,24,5,0.009630818619582664,0.008375209380234505,-0.001255609239348159
Marketing Law,41,9,0.016452648475120384,0.01507537688442211,-0.0013772715906982744
Adobe InDesign,37,8,0.014847512038523275,0.01340033500837521,-0.0014471770301480655
Embedded Software,37,8,0.014847512038523275,0.01340033500837521,-0.0014471770301480655
Web Project,129,30,0.05176565008025682,0.05025125628140704,-0.0015143937988497808
Web Based PHP Applications,29,6,0.011637239165329053,0.010050251256281407,-0.001586987909047646
Enterprise Social Networking,75,17,0.03009630818619583,0.02847571189279732,-0.0016205962933985088
Technology Valuation,25,5,0.010032102728731942,0.008375209380234505,-0.001656893348497437
Strategic Communications Counsel,25,5,0.010032102728731942,0.008375209380234505,-0.001656893348497437
Dedication To Continuous Improvement,25,5,0.010032102728731942,0.008375209380234505,-0.001656893348497437
Apache Kafka,25,5,0.010032102728731942,0.008375209380234505,-0.001656893348497437
Growth Capital,25,5,0.010032102728731942,0.008375209380234505,-0.001656893348497437
Intellectual Property Strategy,46,10,0.018459069020866775,0.01675041876046901,-0.001708650260397765
Marketing Management,46,10,0.018459069020866775,0.01675041876046901,-0.001708650260397765
Professional Technical Training,21,4,0.008426966292134831,0.006700167504187605,-0.0017267987879472264
Failure Mode and Effects Analysis,38,8,0.015248796147672551,0.01340033500837521,-0.001848461139297342
Quantitative Data Analysis,180,42,0.07223113964686999,0.07035175879396985,-0.0018793808529001393
Polymerase Chain Reaction,59,13,0.023675762439807384,0.021775544388609715,-0.0019002180511976698
Operating Systems Design,34,7,0.013643659711075442,0.011725293132328308,-0.0019183665787471348
IBM SPSS Modeler,26,5,0.01043338683788122,0.008375209380234505,-0.0020581774576467152
Terraform,26,5,0.01043338683788122,0.008375209380234505,-0.0020581774576467152
R,168,39,0.06741573033707865,0.06532663316582915,-0.002089097171249499
Query Writing,22,4,0.00882825040128411,0.006700167504187605,-0.0021280828970965046
Visual for Applications,22,4,0.00882825040128411,0.006700167504187605,-0.0021280828970965046
Quantitative Research,43,9,0.01725521669341894,0.01507537688442211,-0.0021798398089968307
JavaScript Engine,64,14,0.025682182985553772,0.023450586264656615,-0.002231596720897157
Motion Graphic Design,39,8,0.01565008025682183,0.01340033500837521,-0.002249745248446622
AutoCAD Civil,60,13,0.024077046548956663,0.021775544388609715,-0.002301502160346948
AngularJS,31,6,0.012439807383627608,0.010050251256281407,-0.0023895561273462006
Video Editing Software,27,5,0.010834670947030497,0.008375209380234505,-0.0024594615667959917
Application-Specific Integrated Circuits,23,4,0.009229534510433388,0.006700167504187605,-0.002529367006245783
Capital Projects,23,4,0.009229534510433388,0.006700167504187605,-0.002529367006245783
Finite Element Analysis,40,8,0.016051364365971106,0.01340033500837521,-0.0026510293575958965
Crossfunctional Project Management,40,8,0.016051364365971106,0.01340033500837521,-0.0026510293575958965
Jenkins 2,32,6,0.012841091492776886,0.010050251256281407,-0.0027908402364954787
Decision Science,53,11,0.02126805778491172,0.018425460636515914,-0.002842597148395805
Object-Oriented CSS,53,11,0.02126805778491172,0.018425460636515914,-0.002842597148395805
Educational Leadership,124,28,0.04975922953451043,0.04690117252931323,-0.002858057005197201
Strategy Execution,24,4,0.009630818619582664,0.006700167504187605,-0.0029306511153950592
Aerospace Engineering,24,4,0.009630818619582664,0.006700167504187605,-0.0029306511153950592
Social Media Analytics,112,25,0.0449438202247191,0.04187604690117253,-0.0030677733235465673
iOS Development,37,7,0.014847512038523275,0.011725293132328308,-0.0031222189061949675
Asset Valuation,83,18,0.03330658105939005,0.03015075376884422,-0.0031558272905458304
Volunteers,29,5,0.011637239165329053,0.008375209380234505,-0.003262029785094548
Continuous Improvement Methodologies,50,10,0.020064205457463884,0.01675041876046901,-0.003313786696994874
Competitive Analysis,25,4,0.010032102728731942,0.006700167504187605,-0.0033319352245443374
Kaizen Leadership,25,4,0.010032102728731942,0.006700167504187605,-0.0033319352245443374
Microsoft Outlook,25,4,0.010032102728731942,0.006700167504187605,-0.0033319352245443374
Mechanical Engineering Technology,63,13,0.025280898876404494,0.021775544388609715,-0.003505354487794779
Backend Development,59,12,0.023675762439807384,0.020100502512562814,-0.00357525992724457
Scala,34,6,0.013643659711075442,0.010050251256281407,-0.003593408454794035
Android Software Development,34,6,0.013643659711075442,0.010050251256281407,-0.003593408454794035
Full Stack Development,80,17,0.03210272873194221,0.02847571189279732,-0.0036270168391448927
Software Development Life Cycle,55,11,0.022070626003210272,0.018425460636515914,-0.0036451653666943577
Swift,72,15,0.028892455858747994,0.02512562814070352,-0.003766827718044475
Microsoft Certified Professional,214,49,0.08587479935794542,0.08207705192629816,-0.0037977474316472637
Sales Customer Service,22,3,0.00882825040128411,0.005025125628140704,-0.003803124773143406
Marketing Project Management,64,13,0.025682182985553772,0.021775544388609715,-0.003906638596944057
React JSX,31,5,0.012439807383627608,0.008375209380234505,-0.004064598003393103
Autocad Plant 3D,31,5,0.012439807383627608,0.008375209380234505,-0.004064598003393103
Marketing Analytics,52,10,0.02086677367576244,0.01675041876046901,-0.0041163549152934305
Go,123,27,0.049357945425361156,0.04522613065326633,-0.004131814772094823
Ruby Version Management,27,4,0.010834670947030497,0.006700167504187605,-0.004134503442842892
Global Investment Management,27,4,0.010834670947030497,0.006700167504187605,-0.004134503442842892
Digital Marketing Production,27,4,0.010834670947030497,0.006700167504187605,-0.004134503442842892
Six Sigma Black Belt Certification,48,9,0.019261637239165328,0.01507537688442211,-0.004186260354743218
Mobile Application Development,23,3,0.009229534510433388,0.005025125628140704,-0.004204408882292684
MySQL MariaDB,44,8,0.01765650080256822,0.01340033500837521,-0.004256165794193009
English as a Second Language Teaching,107,23,0.04293739967897271,0.038525963149078725,-0.0044114365298939875
Collaborative Problem Solving,53,10,0.02126805778491172,0.01675041876046901,-0.004517639024442709
Business English,28,4,0.011235955056179775,0.006700167504187605,-0.00453578755199217
Product Strategy,28,4,0.011235955056179775,0.006700167504187605,-0.00453578755199217
Highspeed Printed Circuit Board Design,24,3,0.009630818619582664,0.005025125628140704,-0.00460569299144196
Labour Market Research,45,8,0.018057784911717497,0.01340033500837521,-0.004657449903342287
Marketing Data Analysis,41,7,0.016452648475120384,0.011725293132328308,-0.004727355342792077
Algorithm Design,41,7,0.016452648475120384,0.011725293132328308,-0.004727355342792077
Healthcare Customer Service,304,70,0.12199036918138041,0.11725293132328309,-0.004737437858097326
Global HR Leadership,37,6,0.014847512038523275,0.010050251256281407,-0.004797260782241868
Methods Engineering,33,5,0.013242375601926164,0.008375209380234505,-0.004867166221691659
Autodesk Fusion 360,29,4,0.011637239165329053,0.006700167504187605,-0.004937071661141448
Customer Service Training,50,9,0.020064205457463884,0.01507537688442211,-0.0049888285730417745
Training Analysis,50,9,0.020064205457463884,0.01507537688442211,-0.0049888285730417745
Computer Science Engineering,192,43,0.07704654895666131,0.07202680067001675,-0.00501974828664456
Daily Scrum,105,22,0.042134831460674156,0.03685092127303183,-0.005283910187642328
Strategic Planning Software,55,10,0.022070626003210272,0.01675041876046901,-0.0053202072427412615
SolidWorks Electrical,101,21,0.04052969502407704,0.035175879396984924,-0.005353815627092119
Design for Six Sigma,26,3,0.01043338683788122,0.005025125628140704,-0.005408261209740517
Change Leadership,97,20,0.03892455858747994,0.03350083752093802,-0.005423721066541917
Computer-Aided Manufacturing,39,6,0.01565008025682183,0.010050251256281407,-0.005599829000540424
Interactive Marketing Strategy,85,17,0.03410914927768861,0.02847571189279732,-0.005633437384891287
OpenCV,31,4,0.012439807383627608,0.006700167504187605,-0.005739639879440003
Cloud Computing Architecture,52,9,0.02086677367576244,0.01507537688442211,-0.005791396791340331
Project Engineer,27,3,0.010834670947030497,0.005025125628140704,-0.005809545318889793
REST API Development,98,20,0.03932584269662921,0.03350083752093802,-0.005825005175691192
Critical Thinking Skills,73,14,0.029293739967897272,0.023450586264656615,-0.005843153703240657
Angular UI,23,2,0.009229534510433388,0.0033500837520938024,-0.005879450758339585
Procedure Writing,23,2,0.009229534510433388,0.0033500837520938024,-0.005879450758339585
